Name,Address,Postal,Latitude,Longitude,Website,Email,Phone,Description,Fees,Eligibility,Languages,Areas Served,Last Updated,Citizen test preparation,Help with daily life,Refugee services,Job language training,Job search support,LGBT services,Language assessment,Language training,Other services,Senior services,Women services,Youth services
Punjabi Community Health Services (PCHS) - Settlement Services for Newcomers to Canada,"50 Sunny Meadow Blvd, Unit 207 Brampton, ON L6R 0Y7",L6R 0Y7,43.7519614791181,-79.7428407019885,http://www.pchs4u.com,info@pchs4u.com,905-677-0889,"Helps newcomers integrate into Canadian society Program offers English language classes training and skills development Canadian laws/norms orientation to the neighbourhood supportive counselling translation/interpretation services government services - social assistance and disability support program health, child care and seniors benefits assistance in filling forms for social insurance number, health card, child tax benefit, family sponsorship, visitor visa, etc. Available to permanent residents, citizens, live-in caregivers and refugees",None,"Permanent residents, citizens, live-in caregivers and refugees",English * Hindi * Punjabi * Urdu,Toronto (Etobicoke) and Peel Region,"January 12, 2023",no,yes,no,yes,yes,no,no,yes,yes,no,no,yes
Service Canada - Caledon Scheduled Outreach Site,"Caledon Community Services 18 King St E, Upper Fl Bolton, ON L7E 1E8",L7E 1E8,43.8801060123718,-79.7372602731489,http://www.servicecanada.gc.ca,NA,"1-800-O-Canada-1-800-622-623
1-800-206-7218 Telephone Information Service (Employment Insurance)
1-800-531-7555 Telephone Reporting Service (Employment Insurance)
1-800-277-9914 CPP/OAS","Human Resource Centre, provides services to: employers, unemployed and underemployed people provide access to job banks and labour market information applications for social insurance numbers and income security programs such as Employment Insurance and Disability Benefits foreign credentials referral for newcomers to Canada services for seniors such as: Canada Pension Plan, Allowance for the survivor program, Old Age Security, Guaranteed Income Supplement Check web site for specific details","Service * Payment Type Accepted:Cheque (Cash, Debit Cards, Credit Cards are not accepted at this office)",NA,English,Caledon,"February 16, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sood Sabha of North America,"5223 Astwell Ave N Mississauga, ON L5R 3H8",L5R 3H8,43.5975812791233,-79.6741651731578,NA,soodsabha-toronto@hotmail.com,647-893-7800,"A not-for-profit organization bringing families together. (Bhawan) for organizing family ceremonies and get-together * provides boarding and lodging to new immigrants to stay free of charge for two weeks * basic membership is for Sood families, but honorary membership available to all * donations accepted (funds raised through charity)",Membership - $50/yr; can be waived for volunteers; Life membership: $1000,None,English * Hindi * Punjabi,Greater Toronto Area,"April 22, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Asian Welcome Centre,"25 Turtlecreek Blvd Brampton, ON L6W 3X8",L6W 3X8,43.6642911015509,-79.7278518731557,NA,sawcentre18@gmail.com,365-788-5999,"An educational and social service centre providing services to the South Asian community Programs: anger management and abusive behaviour classes marital, family and individual counselling sessions alpha program, a Christian-based interactive workshop visitation and friendship development program referral services Working with other social services partners deliver culturally-sensitive programs: educational program for families, especially parents settlement program","Program * Counselling is assessed on a case by case basis (ability to pay). A basic fee of $60 per session is the suggested rate, client is informed of their expected contribution before sessions begin, no one is turned away for an inability to pay",Primarily South Asians; but also serves other cultural backgrounds,English * Hindi * Punjabi * Tamil * Urdu,Greater Toronto Area,"April 1, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WellFort Community Health Services - Bramalea Community Health Centre - Newcomers Service,"40 Finchgate Blvd, Suite 224 Brampton, ON L6T 3J1",L6T 3J1,43.728076632082,-79.7120840308248,http://www.wellfort.ca,info@wellfort.ca,905-451-6959,"Newcomers registered as clients at Bramalea CHC can access primary health care from a team that includes a nurse practitioner, doctor, registered nurse, dietitian, physiotherapist, social worker and community health educator. Note: Newcomers without health insurance can still access primary health care Other supports include: assistance in obtaining an OHIP card guidance in accessing language educational and employment programs referrals to other agencies that can provide support with settlement issues",Most services covered by OHIP,To become a client of the Bramalea Community Health Centre you must 1) live in the area served and 2) be a member of one or more of the following priority populations; - youth (13 - 25) - seniors (65+) - newcomers to Canada (less than 5 years) - racialized communities - people facing mental health conditions or substance use issues - people who are homeless or at-risk of homelessness - families who are under-resourced,English,"Residents of Bramalea with postal codes starting with L6T, L6R and L6S","April 22, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brampton Multicultural Community Centre - Mississauga,"4120 Ridgeway Drive, Unit 43 Mississauga, ON L5L 5S9",L5L 5S9,43.5298054791258,-79.7174532731599,http://www.bmccentre.com/,services@bmccentre.org,Mississauga West 905-828-1328,"Neighbourhood multi-service agency * provides services to the most vulnerable individuals and families through drop-in or phone service Services include (but are not limited to) - settlement & integration programs * information & orientation sessions * referral to appropriate services * educational workshops * skills development * employment related services * assisting people with Ontario Works * counselling and support counselling * translation and interpretation * support for seniors Services are provided at Three locations 150 Central Park Dr, Ste 107, Brampton 3190 Ridgeway Dr, Unit 35, Mississauga 197 County Court Boulevard, Unit 303 Brampton Immigrant Settlement & Adaptation Program * (ISAP) For new immigrants within their first year of arrival * assists these immigrants to settle effectively in Canada * offers orientation and information sessions * interpretation & translations * employment related support * initial needs assessment * referrals to appropriate services * solution-focused counseling * service bridging * offered in both official languages * focus is on immigrants speaking African * Yoruba * Arabic * Tamil * Persian * Spanish * Hindi * Gujarati * Urdu * Punjabi * and other languages from South Asian Countries Newcomers Settlement Program * (NSP) Supports the early and effective settlement of newcomers to Ontario * priority is to support newcomers who have been in Canada for less than five years includes permanent residents * Canadian citizens * refugees * refugee claimants * non-immigrants foreign domestic workers in Canada who may subsequently apply for permanent resident status under Live-in Care Giver Program * offers information & orientation * interpretation and translation * supportive counselling * referral and access to services * employment related support * program focuses on but is not limited to Urdu * Arabic * Punjabi Community Social Support Program * (CSSS) Immigrants' Support Beyond 5-Years Serves men * women * youth * and families from diverse population in Brampton and surrounding areas * primarily a drop in program for clients to receive support in their settlement process * offers supportive counseling * information and referrals for immigrants (who are in Canada 5yrs and beyond) and for the non-conventional refugees or people with no status * group does not qualify under any other program or services * information sessions and workshops for * adult * seniors * and youth * parenting * health * life skills development Access Centre Of Training And Technology * (ACT) Serves individuals looking to improve or develop their computer skills * affordable instructor led training program * available to all volunteers and individuals who cannot afford to pay even the nominal cost * MS Office * Excel * Word * Power Point * Internet * Outlook * Basic Accounting * ACCPAC * basic key boarding * program is not only financially self-reliant but supports the administrative needs of BMC and complements the other programs and services Volunteer Management * (VMP) Serves individuals * newcomers and the community at large to develop or enhance their skills through volunteer work; allowing them to gain 'Canadian Experience' and increase their community participation also benefits individuals in developing their leadership skills and becoming role models for the community Multicultural Settlement And Education Partnership * (MSEP) Partnership with the Peel District School Board * Dufferin Peel Catholic District School Board * Citizenship and Immigration Canada * settlement service program * helps newcomer families adapt and integrate into the Canadian education system * culture * and society provided to the families from the base of their schools (only offered in Brampton) Job Search Workshop * (JSW) Helps immigrants and newcomers in their job search efforts * resume writing techniques * job search techniques * interviewing skills * students use skills through hands-on work * role-playing * interactive discussions * job coaching * mentoring * career assessment, * supportive counselling * connection to employers, * and three months follow up Employment Support * Resume writing * role play * interview skills * job fairs * labour market information * job placements * job board Government Forms available * Citizenship * Permanent Resident (PR) * Social Insurance Number (SIN) * Canada Pension Plan (CPP) * Old Age Supplement (OAS) * sponsorship * Canadian passport * Affordable Housing * Ontario Health Insurance (OHIP) card Organizations operating within Centre include * Muslim Community Services (MCS * offering LINC classes * Violence Against Women program (VAW)) * and support to children who witness abuse Library Settlement Partnerships (LSP) * Settlement Services for newcomers in partnership with Brampton Library * Information & Referral * Group Sessions * services provided from two library branches: * Chincagousy * South Fletcher during library hours",Program - Access Centre for Training & Technology: nominal fee,NA,English * French * Arabic * Bengali * Bosnian * Dari * Farsi (Persian) * Gujurati * Hindi * Interpretive Services * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu,Mississauga,"March 10, 2020",no,yes,yes,no,yes,no,no,no,no,yes,yes,yes
Centre for Education and Training - Language Assessment Centres,"Sussex Centre 50 Burnhampthorpe Road W, Suite 300 Mississauga, ON L5B 3C2",L5B 3C2,43.5922813496416,-79.635921873158,http://www.tcet.com/lang-assessment/index.php,lac@tcet.com,"*Brampton East 905-595-0722 press 4101
* Brampton City South 905-457-4747 press 3025
* Malton 905-677-0007 press 1
* Mississauga 905-949-0049 ext 1369
* Oakville 905-875-3851 ext 5012",Language Assessment Centres provide free English/French language assessments and referrals to classes for eligible immigrants seeking language training in Peel and Halton Regions. Assessments are free,"None - Assessments are free of charge for most immigrants to Canada who are 18 years of age and older, with the exception of visitors and international students.","Age Adults, 18 years of age or older or, if younger, with proof of high school completion from the country of origin. Status in Canada: * Canadian Citizen (born outside Canada) * Permanent Resident * Convention Refugee/Protected Person * Persons in Canada whose applications for Permanent Resident status are being processed in Canada, and who have been informed by a letter from the Immigration, Refugees and Citizenship Canada of the initial approval of their application subject to an admissibility assessment * Refugee Claimant * Temporary Worker or Student who has obtained initial approval for a concurrent Application for Permanent Residence * Foreign Domestic Worker admitted under the Live-In Caregiver program Deaf and Hard-of Hearing students are also welcome",English * French,Halton Region ; Peel Region,"January 27, 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cross-Cultural Community Services Association - Peel Centre,"720 Burnhamthorpe Rd W, Unit 2 Mississauga, ON L5C 3G1",L5C 3G1,43.5777882791238,-79.652540301994,http://www.tccsa.on.ca,NA,905-615-9500,"Assists newcomers to adapt to the Canadian style of living and become the mainstream of the Canadian mosaic Settlement Services Department - assists new immigrants to know more about the social system of Canada and help them to adapt to the Canadian style of living through our counselling services * services include one to one counselling * information workshops * orientation days for newcomers * settlement fact sheets * computer access * employment orientation * employment preparation program Counselling services - includes counselling on education * immigration * housing * children's benefit * registration (birth, marriage, etc) * taxation * employment * health care system * citizenship * senior's benefits * social assistance, etc Education And Language Training Department - helps newcomers become competent in everyday English * enhances Computer English learning * provides knowledge and techniques required for the process of applying for Canadian citizenship and taking the test * ensures the continuity of heritage language for the Chinese youngsters and provides sufficient reading materials in their own native language * services offered include LINC Classes (Level 1 - 5) * free child minding services * English as a Second Language Classes (ESL) - low, intermediate and high level * citizenship preparation classes - beginner, basic and intermediate level Community And Youth Department - assists newcomers of Chinese origin to adapt to the Canadian style of living * helps participants to strengthen their communication skills and improve their quality of living * services offered include volunteer training * Youth Ambassador Program * women support group * senior support group * interest groups * Children's Day Camp (Spring and Summer) * ELITE - Evergreen Leader-In-Training for Exercise * parent support program * Damayan Filipino Drop-In and Information Centre (sponsored by TCCSA)",NA,Citizens * immigrants * convention refugees,English * Arabic * Chinese (Cantonese) * Chinese (Mandarin) * Japanese,Peel Region and Greater Toronto Area,"May 23, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muslim Welfare Centre - Mississauga - Free Medical Clinic,"796 Burnhamthorpe Rd W, Unit 2 Mississauga, ON L5C 2R9",L5C 2R9,43.576099879124,-79.6538614308296,http://www.muslimwelfarecentre.com/causes/free-clinic/,freeclinic@muslimwelfarecentre.com,647-641-1027,"Volunteer medical clinic that: serves people without OHIP such as refugees, new immigrants who are medically uninsured specifically address issues often left unattended in the community such as mental health, women's health cannot provide or cover all types of care care is free but any donation is accepted visits to the clinic are confidential and do not impact on immigration and status claims patients are responsible for their own blood work refugees have to bring refugee papers to the appointment along with a list of all pills and any medical records call first and leave a voicemail to book an appointment clinic is doing telephone consultations only at this time do not treat patients with OHIP coverage and medical emergencies and absolutely no walk-ins",None,Only patients that do not have OHIP coverage,English,Mississauga and area,"January 10, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newcomer Centre of Peel,"165 Dundas St W, Suite 116 Mississauga, ON L5B 2N6",L5B 2N6,43.5773569066802,-79.620537001994,http://www.ncpeel.ca,info@ncpeel.ca,905-306-0577,"For more information, please contact the information line, 905-306-0577 or info@ncpeel.ca Provides the following services: LINC (Language Instruction for Newcomers to Canada) - offers classes to newcomers, improving and enhancing their knowledge of English and helping them integrate into Canadian society * offers classes Literacy Level 7 Settlement And Orientation Services - provides support to newcomers in job search, education, housing, document translation and other settlement needs * offers these services in many languages Community Connetions - serves as a drop in centre for newcomer youth * helps with homework, job search, university applications, etc * helps youth build self confidence so that they may integrate into Canadian society with ease* Helps newcomer youth overcome obstacles that stand in the way of integration * pairs newcomer youth with Canadian youth in a fun and interactive environment * offers recreational activities and outings Employment Related Services - provides support for internationally trained professionals in obtaining a career in their chosen field * offers instruction in Microsoft Word, Excel, PowerPoint, Simply Accounting and QuickBooks * provides help in understanding the Canadian workplace Childcare - provides free care for children of clients (qualified ECEs) SWIS (Settlement Workers In Schools) - helps newcomer parents and students successfully integrate into Canadian Society*offers help with housing, health care, schools and education and hosts workshops for parents and youth*offers services many languages) GBC (Global Business Centre)) -provides information on Canadian business culture and communication through classroom activities and one on one consultations * offers information on feasibility analysis for small business start-ups, writing effective business reports, contracting professionals, planning business growth and helping clients identify various financing sources",None,NA,English * French * Arabic * Chinese (Cantonese) * Chinese (Mandarin) * Dari * Farsi (Persian) * Gujurati * Hebrew * Hindi * Korean * Macedonian * Malayalam * Polish * Portuguese * Punjabi * Russian * Spanish * Tagalog * Tamil * Ukrainian * Urdu * Vietnamese,Peel Region,"October 17, 2019",yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes
CANES Community Care - Community Outreach - Etobicoke and Brampton,"10 Carlson Court, Suite 200 Etobicoke, ON M9W 6L2",M9W 6L2,43.6901633212523,-79.5859028731548,http://www.canes.on.ca,information@canes.on.ca,416-743-3892,"Support for newcomer older adults * introduces them to available government and social services programs and supports * language and culturally specific service Support group meetings held at: Etobicoke and Brampton area R. J. Smith Apartments Auditorium, 101 Kendleton Dr, Tue 12:30pm-3pm North Kipling Community Centre, 2 Rowntree Rd, for Gujarati speaking clients, Wed 10am-12:30pm North Kipling Community Centre, 2 Rowntree Rd, Wed 1pm-3:30pm and Thu 1pm-3pm 850 Humberwood Blvd, Room 1016, Etobicoke Mon 12noon-2pm Mount Pleasant, 100 Commuter Dr. Wed 12 noon-2 pm, Brampton, ON 2 Green Briar, 1100 Central Park Dr. Wed 12 noon-2 pm, Brampton, ON",Varies per program,"Newcomer senior or an adult with a disability who lives in Brampton, Etobicoke, Malton or Wooodbridge",English * Hindi * Gujurati : Punjabi * Urdu,"Brampton, Mississauga (Malton), Toronto (Etobicoke), and Vaughan (Woodbridge)","December 13, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chinese Association of Mississauga,"Golden Square Centre 1177 Central Pkwy W, Unit 16 Mississauga, ON L5C 4P3",L5C 4P3,43.5683654527298,-79.6633064019943,http://chineseassociationmississauga.com,NA,905-275-8558,"Chinese Association * Community/Social Activities for seniors and members * Language Instruction For Newcomers To Canada (LINC) * ESL * Newcomers Settlement Services * Child care * Volunteer opportunities and training * Job search, Resume and Cover Letter Workshop * Computer Internet Service for settlement need * Housing and Referral Services * Community Volunteer Income Tax Program for low income families, seniors, and students * Assisting low-income families and seniors to apply for Ontario Works in Peel and Peel Access to Housing * Interpretive services * Commissioner for taking affidavits *",Membership,NA,English * Chinese (Mandarin) * Interpretive Services,"Orangeville, Toronto (Etobicoke), Dufferin County, Halton Region, and Peel Region","March 4, 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acces Employment,"2085 Hurontario Street, Suite 210",L5A 4G1,43.5703873791242,-79.6015038731587,http://www.accesemployment.ca/,NA,905-361-2522,NA,NA,NA,NA,NA,NA,no,yes,no,yes,yes,no,no,no,no,no,no,yes
Acces Employment,"44 Peel Centre Drive, Suite 201",L6T 4BS,43.7157599791193,-79.7259800019896,http://www.accesemployment.ca/,NA,905-454-2316,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,no,no,no,no,no,no,yes
Achēv,"50 Burnhamthorpe Road West, Suite 300",L5B 3C2,43.5922813496416,-79.635921873158,http://www.achev.ca,info@achev.ca,905-949-0049,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,no,yes,no,yes,no,no,no
Achēv,"7420 Airport Road, Suite 104",L4T 4E5,43.711570524021,-79.6541577019898,http://www.achev.ca,info@achev.ca,905-677-0007,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,no,yes,no,yes,no,no,no
Afghan Women's Organization,"3050 Confederation Parkway, Unit 302",L5B 3Z6,43.5779843514879,-79.621476101994,NA,NA,905-279-3679,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,yes,yes,no,yes,yes
Big Brothers Big Sisters of Peel,"71 West Drive, Unit 23",L6T 5E2,43.7042633791196,-79.7253415731544,https://peel.bigbrothersbigsisters.ca/,NA,905-457-7288,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,yes
Brampton Multicultural Community Centre,"197 County Court Boulevard, Suite 303",L6W 4P6,43.6616813406729,-79.7213536731558,http://www.bmccentre.org/,NA,905-790-8482,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,no,no,no,no,yes,yes,yes
Caledon Community Services,18 King Street East,L7E 1E8,43.8801060123718,-79.7372602731489,https://ccs4u.org/,engage@ccs4u.org,905-584-9460,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,yes,yes,no,no,no
Catholic Community Services of York Region,"Angus Glen Library, 3990 Major Mackenzie Drive East",L6P 1P8,43.8947177791137,-79.3365114731484,http://www.welcomecentre.ca,info@welcomecentre.ca,1-877-761-1155,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no
Catholic Crosscultural Services,1477 Mississauga Valley Blvd,L5A 3Y4,43.5940597088357,-79.6294059731579,http://www.cathcrosscultural.org/,NA,905-232-7010,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,no,no,yes,no,no,no,no
Catholic Crosscultural Services,"4557 Hurontario Street, Unit B11",L4Z 3X3,43.606818710483,-79.6490746731575,http://www.cathcrosscultural.org/,NA,905-272-1703,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,yes,no,no,no,no
Catholic Crosscultural Services,"ACCES Brampton, 44 Peel Centre Dr., Suite 201",L6T 4B5,43.7157599791193,-79.7259800019896,http://www.cathcrosscultural.org/,NA,905-454-2316,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,yes,no,no,no
Catholic Crosscultural Services,"ACCES Mississauga, 151 City Centre Dr., Suite 600",L5B 1M8,43.5907172791235,-79.6398155019936,http://www.cathcrosscultural.org/,NA,905-361-2522,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,yes,no,no,no
Catholic Crosscultural Services,"Newcomer Information Centre Brampton East, 263 Queen St E Suite 14",L6W 4K6,43.7002435356845,-79.7434598731546,http://www.cathcrosscultural.org/,NA,905-595-0722,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,yes,no,no,no
Catholic Crosscultural Services,"Newcomer Information Centre Brampton South, 7700 Hurontario St Suite 100",L6Y 4M3,43.6595513791211,-79.7252889019915,http://www.cathcrosscultural.org/,NA,905-457-4747,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,yes,no,no,no
Catholic Crosscultural Services,"Newcomer Information Centre Malton, 7420 Airport Rd Unit 104",L4T 4E5,43.711570524021,-79.6541577019898,http://www.cathcrosscultural.org/,NA,905-677-0007,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,yes,no,no,no
Catholic Crosscultural Services,"Newcomer Information Centre, 50 Burhamthorpe Rd W Suite 300",L5B 3C2,43.5922813496416,-79.635921873158,http://www.cathcrosscultural.org/,NA,905-949-0049,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,yes,no,no,no
Catholic Crosscultural Services,SCoP 60 West Drive,L6T 3T6,43.7032095667605,-79.72511940199,http://www.cathcrosscultural.org/,NA,905-450-4650,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,yes,no,no,no
Centre Francophone du Grand Toronto,7585 Financial Drive,L6Y 5P4,43.6244380127583,-79.7581190731569,https://www.centrefranco.org/,NA,905-450-1106,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,yes
Centre Francophone du Grand Toronto (Mississauga),"3660 Hurontario Street, Suite 601",L5B 3C4,43.5921908791234,-79.6339436019936,http://www.centrefranco.org,NA,437-317-5648,NA,NA,NA,NA,NA,NA,yes,yes,yes,no,no,no,no,no,yes,no,no,yes
Collège Boréal (PEEL),"50 Burnhamthorpe Road West, Office 300",L5B 3C2,43.5922813496416,-79.635921873158,http://www.collegeboreal.ca/home/,NA,905-306-1562,NA,NA,NA,NA,NA,NA,no,yes,yes,no,yes,no,no,yes,no,no,yes,no
Connecture Canada,"1030 KAMATO ROAD , SUITE 201",L4W 4B6,43.637186879122,-79.6450351019922,http://www.connecturecanada.ca,NA,905-366-1021,NA,NA,NA,NA,NA,NA,no,yes,yes,no,yes,no,no,no,yes,no,no,no
Conseil scolaire catholique MonAvenir,1780 Meadowvale Boulevard,L5N 7L4,43.6139497114037,-79.7464718019929,https://www.cscmonavenir.ca/,info@cdcd.org,905-820-7460,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,no,no,no,yes
COSTI Immigrant Services,"10 Gillingham Drive, Suite 300",L6X 5A5,43.7034231352731,-79.7849298019901,http://www.costi.org/,info@costi.org,905-459-3584,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,no,no,yes,no,no,no,yes
COSTI Immigrant Services,"227 Vodden Street East, Unit 3",L6V 1N2,43.7034248791196,-79.75707350199,http://www.costi.org/,info@costi.org,905-459-6700,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,no,no,yes,no,no,no,yes
Dixie Bloor Neighbourhood Centre,3431 Fieldgate Drive,L4X 2J4,43.6244999791222,-79.588789273157,http://www.dixiebloor.ca,NA,905-629-3553,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,yes,yes,no,no,no
Dixie Bloor Neighbourhood Centre,"3650 Dixie Road, Suite 103",L4Y 3V9,43.6213084794335,-79.6030310019927,http://www.dixiebloor.ca,NA,905-629-1873,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,no,no,no,no,no,yes,yes
Dufferin-Peel Catholic District School Board,300 Great Lakes Drive,L6R 2W7,43.7359840310581,-79.769698701989,http://www.dpcdsb.org,NA,905-361-2344 ext. 60679,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,yes,no,no,no
Dufferin-Peel Catholic District School Board,40 Matheson Blvd.,L5R 1C5,43.6195214791225,-79.6716216019927,http://www.dpcdsb.org,NA,905-890-0708,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,yes,no,no,no
Dufferin-Peel Catholic District School Board,680 Novo Star Drive,L5W 1C7,43.6311412136241,-79.7172089019924,http://www.dpcdsb.org,NA,905-890-1221,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,yes,no,no,no
Malton Neighbourhood Services,7205 Goreway Drive,L4T 1Y2,43.7197267872078,-79.6368626308251,http://www.mnsinfo.org/,info@mnsinfo.org,905-612-0350,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,yes,no,no,no,no
Moyo Health & Community Services,"7700 Hurontario Street, Suite 601",L6Y 4M3,43.6595513791211,-79.7252889019915,https://moyohcs.ca,NA,905-361-0523,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,yes,no,no,no,no,no,no
Muslim Community Services,197 County Court Blvd,L6W 4P6,43.6616813406729,-79.7213536731558,http://www.muslimcommunity.org/,services@bmccentre.org,905-790-8482,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,yes,yes,no,no,no
Muslim Community Services,4120 Ridgeway Drive,L5L 5S9,43.529813257705,-79.7174747308311,http://www.muslimcommunity.org/,NA,905-828-4008,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,yes,no,no,no,no
Peel District School Board,10 North Park Drive,L6S 3M1,43.720338379119,-79.7482134731539,http://www.peelschools.org/,LearnESL@peelsb.com,905-456-1906,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,yes,no,no,no,no
Peel District School Board,510 Balmoral Drive,L6T 1W4,43.7155661245379,-79.7075717308253,http://www.peelschools.org/,LearnESL@peelsb.com,905-793-2400,NA,NA,NA,NA,NA,NA,yes,yes,no,no,no,no,no,yes,no,no,no,no
Peel District School Board,7700 Hurontario Street,L6Y 4M3,43.6595513791211,-79.7252889019915,http://www.peelschools.org/,LearnESL@peelsb.com,905-457-4287,NA,NA,NA,NA,NA,NA,yes,yes,no,no,no,no,no,yes,no,no,no,no
Peel District School Board (Central Board Office),5650 Hurontario Street,L5R 1C6,43.6183564462732,-79.6703891019927,http://www.peelschools.org/,NA,905-890-1010,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,no,no,no,yes
Peel District School Board (We Welcome the World Centres),100 Elm Drive,L5B 1L9,43.5879687080497,-79.6329382019937,http://www.peelschools.org/adulteducation/esl/Pages/default.aspx,LearnESL@peelsb.com,905-270-6000,NA,NA,NA,NA,NA,NA,yes,yes,no,no,no,no,no,yes,no,no,no,yes
Peel District School Board (We Welcome the World Centres),25 Kings Cross Road,L6T 3X9,43.7205175662727,-79.7180395164758,http://www.peel.edu.on.ca/englishHTML/welcome/index.htm,welcomecentre@peelsb.com,905-270-6000,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,no,no,no,yes
Peel District School Board (We Welcome the World Centres),3131 Morning Star Drive,L4T 1X3,43.7139319791192,-79.6482807019897,http://www.peelschools.org/,welcomecentre@peelsb.com,905-677-0300,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,no,no,no,yes
Syrian Canadian Foundation,4308 Village Centre Court,L4Z 1S2,43.6013973484644,-79.6413423731577,http://www.syriancanadianfoundation.ca,info@syriancanadianfoundation.ca,416-520-4509,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,no,no,no,yes,no,yes,no
The Canadian Hearing Society,"2227 South Millway, Suite 300",L5L 3R6,43.5431235559876,-79.6839709308307,http://www.chs.ca,NA,866-518-0000,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,yes,yes,no,yes,no
Vietnamese Community Centre of Mississauga,600 Lakeshore Road East,L5G 1J4,43.5684009055245,-79.5674011731587,http://cdvnmississauga.org,NA,905-891-3825,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,yes,yes,no,yes,no
YMCA of Greater Toronto,20 Union Street,L6V 1R2,43.688886737154,-79.7589463731549,https://ymcagta.org/find-a-y/brampton-union-st-ymca-centre,NA,905-451-9622,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,yes
YMCA of Greater Toronto,55 City Centre Drive,L5B 1M3,43.5937080087903,-79.6381063019935,https://ymcagta.org/,NA,905-897-9622,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no
