organization,link,org_link,address,description,fees,eligibility,languages,areas_served,last_updated
"Birkdale Residence - Toronto, City of - Shelter, Housing and Support Division",https://www.torontocentralhealthline.ca/displayService.aspx?id=51541,NA,"1229 Ellesmere Rd Toronto, ON M1P 4V8","A family and refugee centre * Offers: counselling children's programs family programs for refugees workshops about parenting, life skills and finding a job Each family has their own room with beds, a refrigerator and a microwave. Kitchens and laundry rooms are shared. Families are given money to buy food and take care of cooking and cleaning. Each residence has 24 hour help for families if they need it.",No fees,"Clients come from Central Family Intake only. Call 416-397-5637, which is open 24 hours a day.",English,Toronto,"June 17, 2022"
CAFCAN,https://www.torontocentralhealthline.ca/displayService.aspx?id=132566,http://www.cafcan.org,"Jamaican Canadian Association; 995 Arrow Rd Toronto, ON M9M 2Z5","Delivers programs and services, provides a physical hub, and advocates to improve the well-being and equity of Jamaican, Caribbean & African-Canadian communities COVID-19-- all in person programs and services are suspended, call for information on services offered remotely Mental Health Support -- intake through main line or by email (intake@cafcan.org or info@cafcan.org) children and family health counselling, counselling and safety plan for women and their children victims of violence, trauma counselling, parenting through trauma, men's focused counselling support and support for LGBTQ+ support provided in Twi, Amharic, Tigrinya, possibly French, and Caribbean dialect ----- Educational, vocational, immigration and employment counselling settlement services family orientation and adjustmen housing information and assistance assistance in filling out forms social and recreation programs for seniors young offenders rehabilitation program Leaders in Partnership (LIP) for children 7-14 years with serious behavioural problems at risk of suspension from school 10-week recreational program addressing the social and emotional needs of children in developing a more positive attitude towards school and their community in collaboration with schools and Toronto Police 31 Division Kujichaguilia Club (K-Club) for young offenders or youth at risk of offending, 16-26 years, of Afro Caribbean and other ethno-cultural heritage culturally-attuned staff provide individual counselling, group support, anger management, conflict resolution to help participants integrate into family and community life Parenting Program for individuals and families individual support, family mediation, mobile crisis counselling, and crisis intervention referrals to community resources, support dealing with custody issues, visitations, home assessments, family court parental assessments and advocacy Youth Outreach Worker for children and youth 12-21 years engages and connects youth with services collaborates with other community resources Violence Against Women support to women and children 16 years and older who are experiencing or have experienced domestic violence or incest individual, couple, group and crisis counselling individual and group counselling for women who have been trafficked legal and parenting support also safety planning and lifestyle management Caribbean Canadian Seniors Club (CCSC) members meet Tuesdays and Thursdays social interaction and recreational activities",None - social services,Social services open to all ; Membership -- African-Canadian or Caribbean persons or appreciation of Jamaican heritage,English * Akan * Twi,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","August 26, 2021"
"Canadian Centre for Victims of Torture - Downtown Main Office - Canadian Centre for Victims of Torture, Downtown Main Office",https://www.torontocentralhealthline.ca/displayService.aspx?id=132388,http://www.ccvt.org,"194 Jarvis St, 2nd Fl Toronto, ON M5B 2B7","Medical, mental health and social care COVID19-- counselling by email, link to health information in multiple languages for COVID-19, no walk-in service Medical, mental health and social care Mental health program -- supportive counselling with referral to additional services as appropriate group programs and drop in mutual support groups for men, women, children and youth crisis intervention professional service coordination among physicians or mental health specialists, lawyers, social workers legal help Settlement services needs assessment, information and referral, orientation, supportive counselling support with immigration documents, finding housing, accessing child care, community and social services community support through volunteer befriending, including interpretation and escort to appointments Children's program specialized settlement services for children and their families to deal with trauma and restore family functioning homework club Language and skills training English as a Second Language (ESL), participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto -- see separate entry computer classes Public education program community consultation and public information International projects Satellite office at 20 Palace St, Toronto",None,"Survivors of torture, victims of war and their families and victims of human trafficking Residency Requirements: Greater Toronto Area",English * French * Albanian * Amharic * Arabic * Dari * Farsi * Greek * Italian * Lingala * Somali * Spanish * Tamil * Tigrinya,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","February 25, 2020"
Canadian Information Centre for International Credentials,https://www.torontocentralhealthline.ca/displayService.aspx?id=133502,http://www.cicic.ca,"95 St Clair Ave W Suite 1106 Toronto, ON M4V 1N6","National clearinghouse, includes information and referral for individuals and organizations on the recognition of academic and occupational credentials for working and studying in Canada and abroad National clearinghouse, includes information and referral for individuals and organizations on the recognition of academic and occupational credentials for working and studying in Canada and abroad provides information on Canada's education systems and quality assurance to assist in the recognition of Canadian qualifications online directories including Canadian educational institutions and occupational profiles does not grant equivalencies or assess credentials, or intervene on behalf of individuals",None,Open to all,English * French,Canada,"September 12, 2022"
Canadian Red Cross - Toronto Region - Etobicoke Location - Emergency and Disaster Services,https://www.torontocentralhealthline.ca/displayService.aspx?id=189723,http://www.redcross.ca/in-your-community/ontario/emergency-and-disaster-services/toronto-region-branch-emergency-and-disaster-services-1,"557 Dixon Rd, Unit 122 Etobicoke, ON M9W 1A8","The Canadian Red Cross may provide emergency and disaster services in partnership with first responders, emergency managers, public officials, and in collaboration with other voluntary sector organizations. These services may include: emergency lodging reception and information emergency food emergency clothing personal services family reunification",Free,Primarily for refugees and other migrants,English,Toronto and area,"April 20, 2022"
Canadian Red Cross - Toronto Region - Etobicoke Location - First Contact Program,https://www.torontocentralhealthline.ca/displayService.aspx?id=166553,http://www.redcross.ca/in-your-community/ontario/migrant-and-refugee-services/first-contact/toronto-region-branch-first-contact,"557 Dixon Rd, Unit 122 Etobicoke, ON M9W 1A8","A program that provides an efficient and humanitarian approach to address the most pressing issues of refugee claimants and other categories of migrants First Contact aims to: Provide accurate information about emergency shelter, social services, legal and health services Walk through orientation and general information that includes a high-level review of the refugee determination process, Interim Federal Health, legal aid, the shelter system, social services, English classes, work permits and more If needed, provide a light meal, tokens or other supports Provide 24/7 telephone information and referral services, focused primarily on after-office-hours referrals for newly arriving refugee claimants",Free,Primarily for refugees and other migrants,English,Toronto and area,"April 11, 2022"
Canadian Red Cross - Toronto Region - Etobicoke Location - Swimming Lessons,https://www.torontocentralhealthline.ca/displayService.aspx?id=189728,http://www.redcross.ca/in-your-community/ontario/swimming-and-water-safety/swimming-lessons/toronto-region-branch-swimming-lessons,"557 Dixon Rd, Unit 122 Etobicoke, ON M9W 1A8",Program provide comprehensive learn-to-swim programs for all ages and a national lifeguard training program to certify professional lifeguards. Fees,Fee for service,For people who want to learn swimming and for those wanting to become certified professional lifeguards,English,Toronto and area,"April 20, 2022"
Canadian Ukrainian Immigrant Aid Society - Main Office,https://www.torontocentralhealthline.ca/displayService.aspx?id=132399,http://www.cuias.org,"2383 Bloor St W 2nd Fl Toronto, ON M6S 1P6","Community organization, providing settlement assistance to immigrants; registered charity Settlement services reception and arrival orientation assistance with housing, banking and other needs referral to government and community services form filling help with government applications such as SIN, health card, child benefits, childcare subsidy, subsidized housing and Ontario Works help to restore lost or stolen documents translation and interpretation information and referral to employment services seasonal income tax clinic Participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto -- see separate entry classes full or part-time, day or evening childminding available during day",None,"All newcomers; temporary residents, including arrivals under Canada Ukraine Authorization for Emergency Travel (CUAET); LINC -- landed immigrants, Convention refugees and CUAET eligible temporary residents",English * Polish * Romanian * Russian * Ukrainian,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","July 18, 2022"
Canadian Ukrainian Immigrant Aid Society - North York Office,https://www.torontocentralhealthline.ca/displayService.aspx?id=133920,http://www.cuias.org,"Bathurst-Finch Hub, 540 Finch Ave W Unit 131 Toronto, ON M2R 1N7","Community organization, providing settlement assistance to immigrants; registered charity Settlement services reception and arrival orientation assistance with housing and banking, and other needs referral to government and community services form filling help with government applications such as SIN, health card, child benefits, childcare subsidy, subsidized housing, and Ontario Works help to restore lost or stolen documents translation and interpretation information and referral to employment services seasonal income tax clinic",None,"All newcomers; temporary residents, including arrivals under Canada Ukraine Authorization for Emergency Travel (CUAET)",English * Russian * Ukrainian,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","July 19, 2022"
CANES Community Care - Community Outreach - Etobicoke and Brampton,https://www.torontocentralhealthline.ca/displayService.aspx?id=60772,http://www.canes.on.ca,"10 Carlson Court, Suite 200 Etobicoke, ON M9W 6L2","Support for newcomer older adults * introduces them to available government and social services programs and supports * language and culturally specific service Support group meetings held at: Etobicoke and Brampton area R. J. Smith Apartments Auditorium, 101 Kendleton Dr, Tue 12:30pm-3pm North Kipling Community Centre, 2 Rowntree Rd, for Gujarati speaking clients, Wed 10am-12:30pm North Kipling Community Centre, 2 Rowntree Rd, Wed 1pm-3:30pm and Thu 1pm-3pm 850 Humberwood Blvd, Room 1016, Etobicoke Mon 12noon-2pm Mount Pleasant, 100 Commuter Dr. Wed 12 noon-2 pm, Brampton, ON 2 Green Briar, 1100 Central Park Dr. Wed 12 noon-2 pm, Brampton, ON",Varies per program,"Newcomer senior or an adult with a disability who lives in Brampton, Etobicoke, Malton or Wooodbridge",English * Hindi * Gujurati : Punjabi * Urdu,"Brampton, Mississauga (Malton), Toronto (Etobicoke), and Vaughan (Woodbridge)","December 13, 2022"
CARE Centre for Internationally Educated Nurses - CARE Centre Toronto,https://www.torontocentralhealthline.ca/displayService.aspx?id=152304,http://www.care4nurses.org,"128A Sterling Rd Suite 202 Toronto, ON M6R 2B7","Services and supports for internationally trained nurses COVID19-- some services offered by phone, email or online, no walk-in service ------------------------ Services and supports for internationally trained nurses assistance in preparing for registration exam orientation to nursing and the health care workplace in Ontario job shadowing placement opportunities individual counselling, group support branch offices in Hamilton, Brampton, Mississauga and London -- call or visit website for information",Fees for some services,NA,English,Ontario,"November 16, 2021"
Catholic Crosscultural Services - Settlement Integration Place,https://www.torontocentralhealthline.ca/displayService.aspx?id=132847,http://www.ccscan.ca,"Markington Square Plaza, 3227 Eglinton Ave E Unit 135 Toronto, ON M1J 3M5","Multiservice centre for newcomers COVID19 all services are provided in-person, by phone, and online; walk-ins are welcome all workshops offered on-line ----------- --------------- -------------- Settlement Services needs assessment, information and referral, supportive counselling information on employment, citizenship and immigration, education and housing, financial literacy support to file forms group sessions including English and French conversation groups, citizenship preparation sessions, computer training, career networking, parenting walk-in services, free access to computers and Internet, free fax to local numbers Community Service Programfor women including group or one-on-one settlement counselling activities to build social networks and break isolation short term skills training for employment such as cashier, retail customer service, sewing, or food handling workshops series such as chronic pain management, how to manage diabetes, nutrition (healthy eating) programs Services at other locations -- itinerant settlement counselling services, Library Settlement Program at several locations in Scarborough",None,All newcomers,English * French * Arabic * Azerbaijani * Cantonese * Farsi * Filipino * Gujarati * Hakka * Hindi * Malayalam * Mandarin * Marathi * Turkish * Urdu,Toronto,"June 17, 2022"
Centre For Addiction And Mental Health (CAMH) - New Beginnings Clinic: Services For Refugees,https://www.torontocentralhealthline.ca/displayService.aspx?id=194666,http://www.camh.ca,"Bell Gateway Building 100 Stokes St Toronto, ON M6J 1H4","The service has two components, available to all refugees in their first two years in Toronto: Psychiatric consultation and, when appropriate, brief culturally sensitive interventions for newly arrived refugees (eg., GARs, PSRs and refugee claimants) with psychological issues or concerns; Case consultation for primary care providers with access to psychiatrists and social workers for discussion and advice on client/patient cases.",NA,Newcomers Only,English * Interpretation Services,Ontario,"November 8, 2022"
Centre for Immigrant and Community Services - North York Office,https://www.torontocentralhealthline.ca/displayService.aspx?id=132822,http://www.cicscanada.com,"1761 Sheppard Ave E Ground Floor Toronto, ON M2J 0A5","Immigrant Resource Centre -- multiservice centre COVID19-- all locations closed to the public, services and programs offered online; service/program updates on website ----------- ------------ ----------------- Settlement Service information and referral, orientation, needs assessment translation and interpretation supportive counselling, bridging services form filling",None,"Newcomer immigrants including permanent residents, Convention Refugees, and live-in caregivers",English * Cantonese * Mandarin,Toronto,"December 19, 2022"
Centre for Spanish-Speaking Peoples,https://www.torontocentralhealthline.ca/displayService.aspx?id=132421,http://www.spanishservices.org,"2141 Jane St, 2nd floor Toronto, ON M3M 1A2","Settlement services, legal clinic, HIV/AIDS prevention, and programs for the Spanish-speaking community COVID19-- full-time in-person services have resumed, Mon-Fri 9 am-5 pm; call 416-533-8545 or email info@spanishservices.org; appointments only - no walk-ins Settlement Program information, counselling and referral assistance with completing government and social services application forms ESL classes commissioner of oaths interpretation and translation services monthly settlement workshops Violence Against Women (VAW) Program individual crisis counselling and group counselling by telephone or in person support groups for isolated women and their children information and orientation about legal rights assistance leaving the abusive home, finding transitional housing and applying for social assistance Volunteer Program Volunteer opportunities with ESL classes, food security assistance and interpretation and translation assistance Seniors Program art-based workshops informational workshops Legal Clinic, see separate record HIV and AIDS Prevention Services, see separate record","Most services free, nominal fees for some programs","Open to all, with a focus on the Spanish-speaking community",English * Spanish,Toronto and surrounding areas,"July 22, 2022"
Centre francophone du Grand Toronto - Head Office,https://www.torontocentralhealthline.ca/displayService.aspx?id=133368,http://www.centrefranco.org/,"555 Richmond St W Suite 300 Toronto, ON M5V 3B1","Francophone multiservice agency offering various services Health Services, Child and Family Services, Newcomers Services, Employment Services, Legal Aid Services, see separate entries for more detail Volunteer placement program-- 416-203-1220 ext 1220 Authorized testing centre forTest de franÃ§ais international (TFI) multiple choice test that evaluates the French level of non-francophones call for details and to make an appointment 416-922-2672 also offered at Black Creek Community Centre -- see separate entry Cultural Activities planning and organization of artistic and cultural activities in French newsletter Galerie CÃ©line-Allard (call to book an appointment)",None,"French-speaking people living, working, studying or visiting in Toronto",French,Toronto (City of) and area,"October 7, 2021"
"Centre francophone du Grand Toronto - Newcomer Services, Head Office",https://www.torontocentralhealthline.ca/displayService.aspx?id=132422,http://centrefranco.org/fr/newcomer-services/new-immigrant-information-kiosk-at-lester-b-pearson-airport/,"555 Richmond St W Suite 300 Toronto, ON M5V 3B1","Francophone multiservice agency offering various services Integration and Settlement Programincludes needs assessment, pre- and post-arrival information and referral, assistance to establish social and professional networks to promote community engagement, and assistance to access a range of settlement services Employment support and entrepreneurial support program job search and employment counselling group activities including integration circles, job matching job needs assessment, support to build social and professional networks helping economic and social integration Connexions communautaires (Community Connections) group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development PIDEF / TÃE (Settlement in French-Language Schools Program) settlement services in French-language schools outreach program based in elementary and secondary schools from mid-August to end of June, and in libraries and social service agencies from July to mid-August Host Program for matching foreign trained professionals with peers Program also offered at: Storefront, 4040 Lawrence Av East, Scarboroug: Friday from 9 am-5 pm Community Centre TAIBU, 27 Tapscott Rd, Scarborough: Mon 9 am-5 pm Centrepoint Mall, Language and Skills, 6464, Yonge St, North York: Monday-Wednesday 8:30 am-4:30 pm Fairview Mall, 5 Fairview Mall Rd, Suite 280: Wednesday 1 pm-4:30 pm",None,"French-speaking new immigrants, temporary residents, refugees Employment support and entrepreneurial support program -- program open to all with a focus on vulnerable newcomers including asylum seekers and refugees Residency Requirements: Greater Toronto Area and surrounding region",French,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","March 23, 2021"
"Centre francophone du Grand Toronto - Newcomers services, Centerpoint Mall",https://www.torontocentralhealthline.ca/displayService.aspx?id=161223,http://www.centrefranco.org/%C3%A9tablissement-et-int%C3%A9gration,"PO Box 905, 555 Richmond St W Suite 303 Toronto, ON M5V 3B1","Francophone multiservice agency offering various services Integration and Settlement Program-- needs assessment, pre- and post-arrival information and referral, assistance to establish social and professional networks to promote community engagement, and assistance to access a range of settlement services Employment support and entrepreneurial support program job search and employment counselling group activities including integration circles, job matching job needs assessment, support to build social and professional networks helping economic and social integration Connexions communautaires (Community Connections) group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development PIDEF / TÃE (Settlement in French-Language Schools Program) settlement services in French-language schools outreach program based in elementary and secondary schools from mid-August to end of June, and in libraries and social service agencies from July to mid-August Host Program for matching foreign trained professionals with peers",None,French-speaking people living in Toronto,French,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","October 7, 2021"
Christie Refugee Welcome Centre,https://www.torontocentralhealthline.ca/displayService.aspx?id=133406,http://www.christiestreetrc.com,"43 Christie St Toronto, ON M6G 3B1","Emergency shelter for refugee claimants Emergency shelter, capacity 76 initial orientation and settlement case management basic needs support assistance with refugee claim process, housing referrals, education, health services * follow up support Outreach program -- ongoing support for former residents advocacy, referrals, orientation, and case management system navigation support forms filling assistance",NA,Refugee claimants -- families only,English * French * Spanish * Swahili,Toronto,"October 25, 2021"
Community Legal Education Ontario - Refugee Rights in Ontario,https://www.torontocentralhealthline.ca/displayService.aspx?id=170429,http://refugee.cleo.on.ca/en/refugee-rights-ontario,"180 Dundas St W, Suite 506 Toronto, ON M5G 1Z8",Website for service providers working with refugee claimants and those with questions about immigration and citizenship * includes information on the following: making a refugee claim humanitarian and compassionate claims getting benefits and services how to get legal help preparing for a hearing,Free,Service providers,English,Ontario,"October 11, 2022"
COSTI - Bruno M Suppa Corporate Office,https://www.torontocentralhealthline.ca/displayService.aspx?id=132455,http://www.costi.org/programs/locations.php,"Bruno M Suppa Corporate Office, 1710 Dufferin St Toronto, ON M6E 3P2","Newcomer, employment and family services across the GTA COVID19-- services continue by phone, email, and video, online workshops and webinars available; offices are closed except for refugee shelters; see website page linked here for phone numbers to contact staff at specific services COVID-19: SERVICE NOTICE Services to enable immigrants and refugees to attain self-sufficiency including orientation, settlement services, counselling, employment assistance, education and skills training COSTI Languages Bureau, 416-651-1496, languages@costi.org translation, interpretation, typesetting over 100 languages commercial Various services provided at several Toronto, York Region and Peel Region locations",Most services free COSTI Languages Bureau -- fees vary,Varies by service,English * French * Italian * Portuguese * Spanish,Toronto,"November 19, 2021"
"COSTI - Corvetti Education Centre, Client Support Services Program",https://www.torontocentralhealthline.ca/displayService.aspx?id=142910,http://www.costi.org/programs/program_details.php?sid=0&pid=0&id=206,"760 College St, 1st Floor Toronto, ON M6G 1C4","Newcomer, employment and family services across the GTA COVID19-- services continue by phone, email, and video, online workshops and webinars available; offices are closed except for refugee shelters; see website page linked here for phone numbers to contact staff at specific services COVID-19: SERVICE NOTICE Case management for 12 months to help refugees transition to life in Canada includes health screening and development of personal settlement plan orientation, life skills and settlement services information and referral regarding services at other agencies escort to appointments and interpretation/translation",None,Government assisted refugees,English * Arabic * Farsi * Somali * Spanish,Toronto,"October 26, 2021"
"COSTI - Corvetti Education Centre, Settlement Services",https://www.torontocentralhealthline.ca/displayService.aspx?id=132982,http://www.costi.org/programs/settlement.php,"760 College St, 2nd Floor Toronto, ON M6G 1C4","Newcomer, employment and family services across the GTA COVID19-- services continue by phone, email, and video; online workshops and webinars available; offices are open for in-person services by appointment only; see website page linked here for phone numbers to contact staff at specific services COVID-19: SERVICE NOTICE Settlement Services orientation, assistance with documentation, interpretation and translation information and referral -- employment, housing, health, legal crisis intervention and supportive counselling English as a Second Language (ESL) Instruction conversation and pronunciation classes part time and full time classes citizenship preparation classes CAAT (Canadian Adult Achievement Test), ESL for work permit holders and visitors (online) computerized accounting software training (QuickBooks - online)","Fees for ESL for visitors, QuickBooks Training and for CAAT","Immigrants, refugees, Canadian citizens",English * French * Amharic * Arabic * Cantonese * Kurdish * Mandarin * Spanish * Tigrinya,Toronto,"June 15, 2022"
COSTI - Orientation to Ontario,https://www.torontocentralhealthline.ca/displayService.aspx?id=169552,http://settlement.org/o2o/,"Toronto, ON","Newcomer, employment and family services across the GTA Online information about settling in Ontario and connecting to community services including lists of webinars and workshops International Student Connect--www.internationalstudentconnect.org, information about studying in Canada and pathways to immigration after graduation in-person information orientation sessions at colleges or universities, webinars",None,"Immigrants, refugee claimants and Convention Refugees, citizens, international students, temporary work permit holders, and visitors",English * French * Arabic * Armenian * Cantonese * Dari * Farsi * Punjabi * Russian * Spanish * Tamil * Tigrinya * Ukrainian * Urdu,Ontario,"November 22, 2021"
COSTI - Ralph Chiodo Family Immigrant Reception Centre,https://www.torontocentralhealthline.ca/displayService.aspx?id=132986,http://www.costi.org/programs/refugees.php,"100 Lippincott St Toronto, ON M5S 2P1","Newcomer, employment and family services across the GTA COVID19-- services continue by phone, email, and video, online workshops and webinars available; offices are closed except for refugee shelters; see website page linked here for phone numbers to contact staff at specific services:COVID-19: SERVICE NOTICE Temporary accommodation, initial settlement, orientation and support services, capacity 77 single beds for refugee claimants, capacity 16 art therapy program for children Funded by Settlement Program, Resettlement Assistance Program",None,"Government-sponsored refugees and refugee claimants referred by Canada, Immigration, Refugees and Citizenship Canada and City of Toronto, Community and Neighbourhood Services Residency Requirements: Greater Toronto Area",English * French * Amharic * Arabic * Assyrian * Burmese * Dari * Farsi * Russian * Somali * Spanish * Tigrinya * Urdu,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","June 7, 2022"
"Cross-Cultural Community Services Association, The - TCCSA Toronto Centre - Cross-Cultural Community Services Association, The, TCCSA Toronto Centre",https://www.torontocentralhealthline.ca/displayService.aspx?id=132825,http://www.tccsa.on.ca,"302 Spadina Ave Suite 206 Toronto, ON M5T 2E7","Settlement, language training and community services COVID19-- all locations now open to the public, and services are now available in-person, via telephone, email and other online tools ----------------- ----------------------- Assists newcomers to adapt to life in Canada Settlement Services orientation and cultural transition counselling services information and referral translation and interpretation on education, immigration, housing, transportation, children's benefit, taxation, employment, health care system, citizenship, senior's benefits, recreation Language and Skills Training participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by Ach?v -- see separate entry Community Services programs for youth, seniors, and women EarlyON parenting program recreation activities, workshops and seminars, volunteer training program, and heritage program for children seasonal income tax clinic",None,"Open to all with a focus on Asian communities including newcomers, refugees and citizens",English * French * Cantonese * Mandarin,Toronto,"August 19, 2022"
CultureLink Settlement and Community Services,https://www.torontocentralhealthline.ca/displayService.aspx?id=133272,http://www.culturelink.ca,"The Crossways Mall, 2340 Dundas St W Suite 301 Toronto, ON M6P 4A9","Settlement services including orientation, information and referral, counselling and support * registered charity COVID19-- Call ahead or visit website for updates Settlement services including orientation, information and referral, counselling and support Newcomer Settlement Services (NSP) employment support services one-to-one settlement counselling and referrals newcomer mental health program -- supportive counselling, referrals, group sessions based on coping strategies, skill building and self help form filling including applications for asylum orientation sessions culturally sensitive services for the Roma community programs focused on Syrian or Arabic-speaking refugees include settlement assistance, mentorship, help with job search Library Settlement Partnership (LSP)andSettlement Workers in Community Spaces (SWCS) newcomer outreach at libraries and other community spacies workshops, one-to-one settlement services, community referrals Settlement Workers in Schools (SWIS) outreach program based in elementary and secondary schools from mid-August to end of June, and social service agencies from July to mid-August individualized action plan, settlement information and referral, group activities Mentorship Programs career mentorship citizenship education circles Settlement Online Connects - English conversation circles and Computer Basics Training for Newcomers to Canada Canada Connect -- newcomers paired with Canadian mentor for English conversation, navigating Canadian culture and expanding network Newcomers Explore and Appreciate Toronto (NEAT) -- newcomers gain Canadian volunteer experience in event planning, social media marketing and project management; participate in guided walks/outdoor activities including Wintegration - special winter outdoor activities Newcomers Speak Up for Success -- 10 week public speaking program for newcomers; held online during COVID Interview Squad -- program led by human resource professionals to prepare newcomers for job search, especially interviews Artegration -- cultural experiences and/or volunteering for newcomers available through community partners such as Luminato Festival, Soulpepper Theatre, Aga Khan Museum, Arts in the Park, Koeffler Centre for the Arts Cybersecurity Training - IT Security Bridge Training for internationally trained professionals with IT backgrounds to prepare for jobs in cybersecurity - training for a Cybersecurity Fundamentals Certificate training, mentoring, networking, and help with resumes and interview preparation Labour Market Assistance Program for newcomers and internationally trained professionals personalized job search plan, labour market information, resume preparation, networking, interview preparation Occupation-specific Language Training (OSLT)-- provides workplace communication training in the field of Hospitality Bike Host matches volunteer mentors with newcomers to encourage cycling Fun and safe Bike to School Active and Connected Seniors(ACS) programming for persons 55 years or older from low income, newcomer or racialized communities recreational activities and wellness workshops, settlement, information & referral, English classes Global Roots Garden - intergenerational program, see separate listing",Most services are free; contact organization for information,"New immigrants and refugees, including Roma community; Mentorship Programs -- newcomers 19 years or older, requires immigration papers or Permanent Resident card; specific programs for youth and seniors with a focus on age or language groups Occupation Specific Language Training (OSLT) -- permanent residents or Convention refugees with training or experience in the relevant occupation or sector and intermediate level English; CLB benchmarks are required",English * French * American Sign Language * Arabic * Bengali * Cantonese * Czech * Farsi * Filipino * Hindi * Hungarian * Italian * Mandarin * Pashto * Polish * Portuguese * Punjabi * Russian * Sinhalese * Slovak * Somali * Spanish * Tamil * Tibetan * Urdu,Toronto,"December 12, 2022"
CultureLink Settlement and Community Services - Children and Youth Centre,https://www.torontocentralhealthline.ca/displayService.aspx?id=182786,http://www.culturelink.ca,"3535 Dundas St W Toronto, ON M6S 2S7","Settlement services including orientation, information and referral, counselling and support * registered charity Programs focusing on education, recreation, the arts, employment and volunteerism aiming to prevent social isolation and promote overall health and well-being Youth In Action and Youth In Arts -- after school weekly recreation, activity and arts based programs to establish community connections * Youth in Action promotes healthy lifestyle and cross cultural integration through sports * Youth In Arts offers visual arts, digital design and video production workshops Sankofa -- a group of programs for youth age 13-29 years to support the healthy development of newcomer, out-of-status, LGBTQ, racialized and the underserved * settlement services, community engagement, environmental stewardship, nutrition and health, self-defence * Global Roots Garden -- intergenerational urban farming program that brings newcomer youth and seniors together to learn and practice gardening, growing food and healthy cooking * part of Global Roots Project * snacks and TTC tokens available * Sankofa Drop-In and Multicultural Club -- after school and peer-leadership programs, Sankofa Girls Group focused on the positive psycho-social development of young women through art, music and recreational activities ARTegration -- after-school program for newcomer Syrian children ages 6-12 years that helps them integrate to their new communities * art activities, homework help, English literacy enrichment, healthy lifestyle choices, leadership and forming a sense of civic pride Mabelle After-School Program -- for children ages 6-13 years living in the Toronto Community Housing community of Mabelle * indoor and outdoor recreational activities, homework help, nutrition education, and health education * snack provided Skills for Youth Success (SYS) -- pre-employment program designed to teach youth ages 15-29 years how to market themselves in today's digital world * instruction on building a professional digital profile, creating new media based resumes, developing networking skills, and exploring careers through networking events",None,Children and youth 6 -29 years who are newcomers or members of a visible minority community,English * French * American Sign Language * Arabic * Bengali * Cantonese * Czech * Farsi * Filipino * Hindi * Hungarian * Italian * Mandarin * Pashto * Polish * Portuguese * Punjabi * Russian * Sinhalese * Slovak * Somali * Spanish * Tamil * Tibetan * Urdu,Toronto,"February 10, 2020"
CultureLink Settlement and Community Services - Parkdale Community Information Centre,https://www.torontocentralhealthline.ca/displayService.aspx?id=132724,http://www.pcic.ca,"Parkdale Public Library, 1303 Queen St W Toronto, ON M6K 1L6","Settlement services including orientation, information and referral, counselling and support * registered charity COVID19 Update -- Office closed Community information and referral * form filling * problem solving * help in communicating with other agencies * free Internet access * community outreach and development * settlement services * youth outreach and leadership program -- connects youth to community volunteer opportunities",None,"Low income individuals and families of all ages and cultural backgrounds, including refugees and those with no status Bloor St W (north) to Lake Ontario (south), Parkside Dr (west) to Dovercourt Rd (east)",English * French * Spanish,Toronto (Old Toronto),"January 30, 2020"
Cypriot Community of Toronto,https://www.torontocentralhealthline.ca/displayService.aspx?id=133705,http://psp.tripod.com/CYPRUS,"6 Thorncliffe Park Dr Toronto, ON M4H 1H1","Community centre Community centre educational, cultural and heritage language programs in Greek social services Immigrants and newcomers information and referral, orientation, assistance with form filling, employment information escort and interpretation services for senior or hospitalized members financial assistance for members in need workshops and seminars on Canadian society and culture traditional dance classes","Annual membership fee -- family $75, individual $50, student $30",Individuals of Cypriot origin Residency Requirements: City of Toronto,English * Greek,Toronto,"August 21, 2020"
Davenport Perth Neighbourhood and Community Health Centre - Adult Services - Settlement,https://www.torontocentralhealthline.ca/displayService.aspx?id=172834,http://www.dpnchc.com,"1900 Davenport Rd Toronto, ON M6N 1B7","Assistance and referrals to both documented and undocumented newcomers to Canada * services include information regarding the Canadian immigration process, housing, health, education, and other resources in the community",Free,Newcomers to Canada,English * Portuguese * Spanish,Toronto (Old Toronto),"July 9, 2021"
