Name,Healthline Link,Website,Address,Email,Phone,Description,Fees,Eligibility,Languages,Areas Served,Last Updated
"YMCA of Greater Toronto - Newcomers - North York Dufferin Street Centre - Newcomer Information Centre, North York Dufferin Street Centre",https://www.centralwesthealthline.ca/displayService.aspx?id=132706,http://newcomersincanada.ca/,"4580 Dufferin St, 2d Floor Toronto M3H 5Y2",info@newcomersincanada.ca,416-630-0330,"Organization that offer children, teens, young adults and families the opportunity for personal growth, community involvement and leadership COVID19-- offices open by appointment, book here --https://app.smartsheet.com/b/form/7379468defa14b1bb33bad5062e98c71/or service continues online Settlement information and referral settlement information sessions in various locations guest speaker series Newcomer Network access to computers, fax, photocopiers, and phone settlement resource library information on immigration and citizenship, employment and job searching, access to trades and professions, credential assessment, education and training, language classes, health and housing, community, recreation and consumer resources, human rights, legal and social services, child, youth and family resources, food, shelter, and clothing Library Settlement Partnerships-- outreach program at Centennial Library settlement information and referral Community Connections Mentorship Program (formerly HOST Program) -- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks, trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development Newcomer Youth Services youth-focused settlement information and referral Newcomer Youth Leadership Development -- youth learn about their community, gain volunteer hours, build leadership, language, communication and social skills workshops and activities for parents and youth",None,NA,English * French * Arabic * Armenian * Bulgarian * Farsi * Portuguese * Romanian * Russian * Turkish * Ukrainian,"Toronto, Peel Region, Durham, and York Census Division","August 28, 2020"
"YMCA of Greater Toronto - Newcomers - Scarborough Milner Business Court Centre - Newcomer Information Centre, Scarborough Milner Business Court Centre",https://www.centralwesthealthline.ca/displayService.aspx?id=143101,http://newcomersincanada.ca/,"10 Milner Business Court, Suite 600 Toronto M1B 3C6",info@newcomersincanada.ca,416-609-0218,"Organization that offer children, teens, young adults and families the opportunity for personal growth, community involvement and leadership COVID19-- offices open by appointment, book here --https://app.smartsheet.com/b/form/7379468defa14b1bb33bad5062e98c71/or service continues online Settlement information and referral settlement information sessions in various locations guest speaker series Newcomer Network access to computers, fax, photocopiers, and phone settlement resource library information on topics such as immigration and citizenship, employment and job searching, access to trades and professions, credential assessment, education and training, language classes, health and housing, community, recreation and consumer resources, human rights, legal and social services, child, youth and family resources, food, shelter, and clothing Community Connections Mentorship Program(formerly HOST Program) -- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks, trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development Newcomer Youth Services youth-focused settlement information and referral Newcomer Youth Leadership Development -- youth learn about their community, gain volunteer hours, build leadership, language, communication and social skills workshops and activities for parents and youth",None,NA,English * Arabic * Cantonese * Fujianese * Hindi * Indonesian * Japanese * Mandarin * Portuguese * Punjabi * Spanish * Urdu,Toronto and York Census Division,"January 30, 2020"
Abrigo Centre,https://www.torontocentralhealthline.ca/displayService.aspx?id=133344,http://www.abrigo.ca,"1645 Dufferin St Toronto, ON M6H 3L9",info@abrigo.ca,416-534-3434,"Multiservice agency * registered charity COVID-19 --Office closed, no walk-in service * phone, email and online support only - call 416-534-3434 for counsellor assistance, or visitwebsitefor details Multiservice agency, liaison with Portuguese-speaking communities Community development information and referral, assistance with forms youth programs including school outreach workshops settlement and orientation for newcomers community education and information seniors education and recreation program Counselling services-- individual and group counselling for women and children who are victims or witnesses of abuse youth services include counselling, life skills, advocacy Success by Six parenting groups for Portuguese-speaking mothers with children birth-6 years parenting groups for fathers Partner Assault Response (PAR) Program-- 12 week group education and counselling program on domestic violence and non-abusive ways of resolving conflict victims/partners of the offender provided with support including safety planning, referrals to community resources, and information on offender's progress",Service - most services ; Partner Assault Response Program - sliding scale,"Open to all with focus on Portuguese-speaking communities * Partner Assault Response Program -- offenders 18 years and older, ordered by the court to attend in response to a criminal charge involving domestic violence Residency Requirements: Greater Toronto Area",NA,Toronto,"May 23, 2019"
Agincourt Community Services Association - Dorset Park Community Hub,https://www.torontocentralhealthline.ca/displayService.aspx?id=143166,http://www.agincourtcommunityservices.com/,"1911 Kennedy Rd Unit 105 Toronto, ON M1P 2L9",info@agincourtcommunityservices.com,416-292-6912,"Multiservice centre Community Food Centre--shopping model food bank on site Food Bank-- member of Daily Bread Food Bank Dorset Park Hub - Multiservice neighbourhood centre centre community engagement projects seniors yoga women's English Circle financial literacy workshops public computer access Newcomer Centre information and referral to community and social services support with finding housing, child care, registering children in school and health care help filling out government forms including housing and immigration sponsorship forms help with connecting to language classes workshops on financial literacy and other topics to reduce stress of adjusting to Canadian culture Citizenship Preparation-- offers courses, tests and activities to help newcomers prepare for the citizenship test Language Instruction for Newcomers to Canada-- provides basic language skills in English upon assessment by YMCA of Greater Toronto -- see separate entry, online learning option Mentorship and Skills Building offers permanent residents and convention refugees resume and job readiness help, employment counselling skills and career development in specific fields including food service, customer service, cashier training to help newcomers get entry level jobs Lead agency for Dorset Park Hub other services provided by partner agencies including, Reconnect Community Health Service, John Howard Society of Toronto, VHA Home HealthCare, Chinese Canadian Council, Madison Community Services, Black Youth Jobs and Dorset Park Neighbourhood Association",NA,"Newcomer Services -- permanent residents or convention refugees Language Instruction for Newcomers to Canada (LINC)-- permanent residents, convention refugees, government-sponsored refugees or others eligible",English * Arabic * Cantonese * Mandarin * Spanish * Tamil,Toronto (Scarborough),"June 13, 2022"
Albanian Canadian Association Kosova,https://www.torontocentralhealthline.ca/displayService.aspx?id=133910,NA,"3416 Dundas St W Suite 202 Toronto, ON M6S 2S1",kosova@bellnet.ca,416-760-0172,COVID19 -- open for service Community centre * settlement services * information and referral * support groups * youth support groups * individual and family counselling * translation and interpretation * assistance with immigration COVID19 -- open for service Community centre * settlement services * information and referral * support groups * youth support groups * individual and family counselling * translation and interpretation * assistance with immigration,Free to unemployed * $20 annual membership fee * fees for some translation and interpretation services,Open to all including immigrants and refugees; focus on Albanian community,English * Albanian,"Toronto, Halton Region, Peel Region, Waterloo Region, Durham, and York Census Division","July 4, 2020"
Alpha-Toronto,https://www.torontocentralhealthline.ca/displayService.aspx?id=132667,http://alpha-toronto.ca/,"90 Richmond St E Suite 302 Toronto, ON M5C 1P1",alphatoronto@bellnet.ca,NA,"Oragnisation that provides education and training programs in French All services offered online using teleconference Group programs in community locations form filling for people who cannot read or write BibliothÃ¨que Marie Luce-LeBlanc basic skills employment network outreach, information and referral FBO-ACE college preparation program (in collaboration with CollÃ¨ge BorÃ©al) collaboration with francophone community colleges, school boards and employment programs literacy programs -- see branch record",None,"Francophone adults without a high school diploma, including those receiving social assistance through Ontario Works",French,Toronto,"December 13, 2021"
Aurora House,https://www.torontocentralhealthline.ca/displayService.aspx?id=172324,http://www.aurorahouse.ca,"1774 Queen St E, Room 400 Toronto, ON M4L 1G7",info@aurorahouse.ca,NA,"Long-term transitional housing COVID19-- service continues, call for intake, online, phone or email service where appropriate Long-term transitional housing, capacity 7 trauma counselling, basic needs and essential supports to re-establish independence information and referral -- legal aid, immigration, social assistance settlement services Case management and programming in partnership with Mennonite New Life Centre of Toronto, see separate entry",Rent geared to income based on social assistance benefits * support services free,"People who have been trafficked or exploited in Canada including Canadians, immigrants and refugees Residency Requirements: Greater Toronto Area",English,"Toronto, Peel Region, Durham, and York Census Division","December 3, 2021"
"Birkdale Residence - Toronto, City of - Shelter, Housing and Support Division",https://www.torontocentralhealthline.ca/displayService.aspx?id=51541,NA,"1229 Ellesmere Rd Toronto, ON M1P 4V8",NA,416-392-5650,"A family and refugee centre * Offers: counselling children's programs family programs for refugees workshops about parenting, life skills and finding a job Each family has their own room with beds, a refrigerator and a microwave. Kitchens and laundry rooms are shared. Families are given money to buy food and take care of cooking and cleaning. Each residence has 24 hour help for families if they need it.",No fees,"Clients come from Central Family Intake only. Call 416-397-5637, which is open 24 hours a day.",English,Toronto,"June 17, 2022"
Canadian Information Centre for International Credentials,https://www.torontocentralhealthline.ca/displayService.aspx?id=133502,http://www.cicic.ca,"95 St Clair Ave W Suite 1106 Toronto, ON M4V 1N6",NA,416-962-9725,"National clearinghouse, includes information and referral for individuals and organizations on the recognition of academic and occupational credentials for working and studying in Canada and abroad National clearinghouse, includes information and referral for individuals and organizations on the recognition of academic and occupational credentials for working and studying in Canada and abroad provides information on Canada's education systems and quality assurance to assist in the recognition of Canadian qualifications online directories including Canadian educational institutions and occupational profiles does not grant equivalencies or assess credentials, or intervene on behalf of individuals",None,Open to all,English * French,Canada,"September 12, 2022"
CARE Centre for Internationally Educated Nurses - CARE Centre Toronto,https://www.torontocentralhealthline.ca/displayService.aspx?id=152304,http://www.care4nurses.org,"128A Sterling Rd Suite 202 Toronto, ON M6R 2B7",info@care4nurses.org,416-226-2800,"Services and supports for internationally trained nurses COVID19-- some services offered by phone, email or online, no walk-in service ------------------------ Services and supports for internationally trained nurses assistance in preparing for registration exam orientation to nursing and the health care workplace in Ontario job shadowing placement opportunities individual counselling, group support branch offices in Hamilton, Brampton, Mississauga and London -- call or visit website for information",Fees for some services,NA,English,Ontario,"November 16, 2021"
Catholic Crosscultural Services - Settlement Integration Place,https://www.torontocentralhealthline.ca/displayService.aspx?id=132847,http://www.ccscan.ca,"Markington Square Plaza, 3227 Eglinton Ave E Unit 135 Toronto, ON M1J 3M5",NA,416-266-7200,"Multiservice centre for newcomers COVID19 all services are provided in-person, by phone, and online; walk-ins are welcome all workshops offered on-line ----------- --------------- -------------- Settlement Services needs assessment, information and referral, supportive counselling information on employment, citizenship and immigration, education and housing, financial literacy support to file forms group sessions including English and French conversation groups, citizenship preparation sessions, computer training, career networking, parenting walk-in services, free access to computers and Internet, free fax to local numbers Community Service Programfor women including group or one-on-one settlement counselling activities to build social networks and break isolation short term skills training for employment such as cashier, retail customer service, sewing, or food handling workshops series such as chronic pain management, how to manage diabetes, nutrition (healthy eating) programs Services at other locations -- itinerant settlement counselling services, Library Settlement Program at several locations in Scarborough",None,All newcomers,English * French * Arabic * Azerbaijani * Cantonese * Farsi * Filipino * Gujarati * Hakka * Hindi * Malayalam * Mandarin * Marathi * Turkish * Urdu,Toronto,"June 17, 2022"
Centre For Addiction And Mental Health (CAMH) - New Beginnings Clinic: Services For Refugees,https://www.torontocentralhealthline.ca/displayService.aspx?id=194666,http://www.camh.ca,"Bell Gateway Building 100 Stokes St Toronto, ON M6J 1H4",NA,416-535-8501 ext 2,"The service has two components, available to all refugees in their first two years in Toronto: Psychiatric consultation and, when appropriate, brief culturally sensitive interventions for newly arrived refugees (eg., GARs, PSRs and refugee claimants) with psychological issues or concerns; Case consultation for primary care providers with access to psychiatrists and social workers for discussion and advice on client/patient cases.",NA,Newcomers Only,English * Interpretation Services,Ontario,"November 8, 2022"
"Centre francophone du Grand Toronto - Newcomer Services, Head Office",https://www.torontocentralhealthline.ca/displayService.aspx?id=132422,http://centrefranco.org/fr/newcomer-services/new-immigrant-information-kiosk-at-lester-b-pearson-airport/,"555 Richmond St W Suite 300 Toronto, ON M5V 3B1",NA,416-922-2672 ext 420,"Francophone multiservice agency offering various services Integration and Settlement Programincludes needs assessment, pre- and post-arrival information and referral, assistance to establish social and professional networks to promote community engagement, and assistance to access a range of settlement services Employment support and entrepreneurial support program job search and employment counselling group activities including integration circles, job matching job needs assessment, support to build social and professional networks helping economic and social integration Connexions communautaires (Community Connections) group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development PIDEF / TÃE (Settlement in French-Language Schools Program) settlement services in French-language schools outreach program based in elementary and secondary schools from mid-August to end of June, and in libraries and social service agencies from July to mid-August Host Program for matching foreign trained professionals with peers Program also offered at: Storefront, 4040 Lawrence Av East, Scarboroug: Friday from 9 am-5 pm Community Centre TAIBU, 27 Tapscott Rd, Scarborough: Mon 9 am-5 pm Centrepoint Mall, Language and Skills, 6464, Yonge St, North York: Monday-Wednesday 8:30 am-4:30 pm Fairview Mall, 5 Fairview Mall Rd, Suite 280: Wednesday 1 pm-4:30 pm",None,"French-speaking new immigrants, temporary residents, refugees Employment support and entrepreneurial support program -- program open to all with a focus on vulnerable newcomers including asylum seekers and refugees Residency Requirements: Greater Toronto Area and surrounding region",French,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","March 23, 2021"
"Centre francophone du Grand Toronto - Newcomers services, Centerpoint Mall",https://www.torontocentralhealthline.ca/displayService.aspx?id=161223,http://www.centrefranco.org/%C3%A9tablissement-et-int%C3%A9gration,"PO Box 905, 555 Richmond St W Suite 303 Toronto, ON M5V 3B1",NA,416-221-4442 ext 0,"Francophone multiservice agency offering various services Integration and Settlement Program-- needs assessment, pre- and post-arrival information and referral, assistance to establish social and professional networks to promote community engagement, and assistance to access a range of settlement services Employment support and entrepreneurial support program job search and employment counselling group activities including integration circles, job matching job needs assessment, support to build social and professional networks helping economic and social integration Connexions communautaires (Community Connections) group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development PIDEF / TÃE (Settlement in French-Language Schools Program) settlement services in French-language schools outreach program based in elementary and secondary schools from mid-August to end of June, and in libraries and social service agencies from July to mid-August Host Program for matching foreign trained professionals with peers",None,French-speaking people living in Toronto,French,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","October 7, 2021"
Christie Refugee Welcome Centre,https://www.torontocentralhealthline.ca/displayService.aspx?id=133406,http://www.christiestreetrc.com,"43 Christie St Toronto, ON M6G 3B1",general@christiestreetrc.com,416-588-9277,"Emergency shelter for refugee claimants Emergency shelter, capacity 76 initial orientation and settlement case management basic needs support assistance with refugee claim process, housing referrals, education, health services * follow up support Outreach program -- ongoing support for former residents advocacy, referrals, orientation, and case management system navigation support forms filling assistance",NA,Refugee claimants -- families only,English * French * Spanish * Swahili,Toronto,"October 25, 2021"
COSTI - Orientation to Ontario,https://www.torontocentralhealthline.ca/displayService.aspx?id=169552,http://settlement.org/o2o/,"Toronto, ON",O2O@costi.org,NA,"Newcomer, employment and family services across the GTA Online information about settling in Ontario and connecting to community services including lists of webinars and workshops International Student Connect--www.internationalstudentconnect.org, information about studying in Canada and pathways to immigration after graduation in-person information orientation sessions at colleges or universities, webinars",None,"Immigrants, refugee claimants and Convention Refugees, citizens, international students, temporary work permit holders, and visitors",English * French * Arabic * Armenian * Cantonese * Dari * Farsi * Punjabi * Russian * Spanish * Tamil * Tigrinya * Ukrainian * Urdu,Ontario,"November 22, 2021"
Dixon Hall Neighbourhood Services - Regent Park Learning Centre - Newcomer Settlement Program,https://www.torontocentralhealthline.ca/displayService.aspx?id=133898,http://www.dixonhall.org,"417 Gerrard St E, 2nd Fl Toronto, ON M5A 2H4",NA,416-863-0499 ext 2051 ; 416-363-7026,"English language classes, basic or intermediate levels * free Internet access, printing and photocopying Newcomer Settlement Program -- one-to-one help including needs assessment, supportive counselling, orientation, forms filling, information and referral, translation and interpretation * volunteer opportunities",None,Priority to permanent residents or Convention refugees,English * Bengali * Chinese (Mandarin),Toronto (Old Toronto),"October 29, 2019"
Dixon Hall Neighbourhood Services - Seniors Services - Mandarin Outreach,https://www.torontocentralhealthline.ca/displayService.aspx?id=165932,http://www.dixonhall.org,"192 Carlton St Toronto, ON M5A 2K8",NA,416-863-0499,Support to Mandarin speaking newcomers and immigrant * settlement services * recreation and wellness programs * skills and literacy * information and referral Fees,Free,Mandarin speaking newcomers and individuals of all ages living in the downtown East Toronto area,English * Chinese (Mandarin),Toronto,"July 15, 2020"
For Youth Initiative - Keele Street Office - Youth Settlement Services,https://www.torontocentralhealthline.ca/displayService.aspx?id=132991,http://www.foryouth.ca,"1652 Keele St Suite 108 Toronto, ON M6M 3W3",info@foryouth.ca,416-653-3311,"Youth-led programs promoting access to social service, education, recreation, economic and cultural opportunities for Black, racialized and newcomer youth COVID19All program spaces closed (no walk-in service), remote support available by phone, email or text drop-in and after-school programs suspended while schools closed visit FYI website for staff contact information and updates ---------- Settlement, case management and wraparound services Settlement Program Orientation, needs and eligibility assessments, and pre- and post-arrival information and referral on education, settlement, employment, social assistance, housing, recreation assistance in accessing services language and skills training job search and employment counselling assistance in establishing social and professional networks problem solving, conflict resolution, cross cultural communication workshops, seminars Community Connections Mentorship Program Group orientation activities for newly arrived immigrants and refugees with trained volunteer mentors help in establishing social and professional networks development of citizenship and civic engagement skills and career development Job Search Workshops (JSW) For new immigrants and Convention refugees, legally entitled to work in Canada job search techniques workshops labour market information access to trades and professions resume preparation, networking extensive individual assistance",NA,"Newcomer youth 13-24 years, including permanent residents, landed immigrants, Convention refugees and government assisted refugees Residency Requirements: City of Toronto",English * Arabic * Filipino * Spanish,Toronto,"November 14, 2019"
Immigration and Refugee Board of Canada. Central Region,https://www.torontocentralhealthline.ca/displayService.aspx?id=142896,http://www.irb-cisr.gc.ca,"74 Victoria St Suite 400 Toronto, ON M5C 3C7",NA,416-954-1000,"Independent administrative tribunal COVID19-- call or visit website for current informationirb-cisr.gc.ca/en/stay-connected/Pages/covid-19-irb-operations.aspx Refugee Protection Division:panel determines refugee claims if determined eligible by Immigration, Refugees and Citizenship Canada or Canada Border Services Agency, the claim is referred to a Refugee Determination hearing claimants may be represented by legal counsel upon positive evaluation of claim, refugee status will be confirmed and application for landed immigrant status may proceed appeals of negative decisions may be heard at Refugee Appeal Board or other bodies, for more information, Refugee Claim Information Sheet Immigration Appeal Division:hears appeals on immigration-related matters including sponsorships, removal orders, and residency obligations Immigration Division:conducts detention reviews and admissibility hearings for persons believed to be inadmissible or removable from Canada; located at 385 Rexdale Blvd, 1-833-222-0408, fax 416-744-4274",NA,"Refugee claimants, immigration appellants and persons believed to be in contravention of immigration legislation",English * French,Ontario,"May 18, 2022"
Learning Enrichment Foundation - Industry Avenue Site,https://www.torontocentralhealthline.ca/displayService.aspx?id=132598,http://www.lefca.org,"116 Industry St Toronto, ON M6M 4L8",info@lefca.org,NA,"Provides integrated and holistic community programs in settlement, employment and skills training Registered Charity COVID-19 update-- open to in-person service; LEF staff remain online and able to support community members remotely Community economic development through employment and training services, newcomer/settlement services, programs for youth and seniors Occupation Specific Language Training provides workplace communication courses for Early Childhood Education, Industrial Skills training, Forklift Operator re-certification, Hospitality Career Pathways, bicycle assembly and maintenance Settlement Program needs assessment and pre- and post-arrival information and referral to community and social services support with finding housing, child care, registering children in school and health care help filling out government forms, including housing and immigration sponsorship forms community support through volunteer befriending, and conversation circles to practise English help with connecting to language classes workshops to reduce stress of adjusting to Canadian culture English as a Second Language and English for Life and Work in Canada conversation and pronunciation classes job search preparation and online or in-class training to develop job search strategies and workplace communication skills employment counselling -- resume help, job readiness clinic, employment counselling, skills and career development and help in establishing social and professional networks Youth Programs immigration and settlement peer counselling services, leadership skills training and employment assistance to newcomer youth Also 20 licensed child care centres -- see separate listings",NA,"Eligibility requirements for some programs, call for details",English * French * Akan * Albanian * Amharic * Arabic * Azerbaijani * Bengali * Bulgarian * Cantonese * Croatian * Dari * Ewe * Farsi * Filipino * German * Greek * Gujarati * Hausa * Hindi * Hungarian * Italian * Japanese * Korean * Krio * Macedonian * Mandarin * Pashto * Polish * Portuguese * Punjabi * Romanian * Russian * Serbian * Somali * Spanish * Swahili * Tamil * Tigre * Tigrinya * Turkish * Twi * Ukrainian * Urdu * Vietnamese * Yiddish * Yoruba,Toronto,"August 25, 2022"
Legal Aid Ontario - Refugee Law Office,https://www.torontocentralhealthline.ca/displayService.aspx?id=133533,http://www.legalaid.on.ca,"Atrium on Bay, 20 Dundas St W Suite 202 Toronto, ON M5G 2H1",refugee@lao.on.ca,416-977-8111,"COVID-19-- provincial and legal aid offices closed to the public continue to provide help over the phone check service updates on href=https://www.legalaid.on.ca/news/covid-19-update-on-our-client-services target=_blank>www.legalaid.on.ca/news/covid-19-update-on-our-client-services ---------------------------------------- Free legal information, advice and other services COVID-19-- operating by phone only, Toronto 416-977-8111, Toll-free 1-855-854-8111 ---------------------------------------- Represents refugee claimants at hearings before the Immigration and Refugee Board, and on applications to the Federal Court claimants must obtain Legal Aid certificate lawyer and paralegal assigned to each case Also represents immigration detainees at Toronto West Detention Centre, Immigration and Refugee Board of Canada Immigration Holding Centre, Vanier Centre for Women (Milton), Maplehurst Correctional Complex (Milton) and Central East Correctional Centre (Lindsay) at detention reviews on a duty counsel basis, detainees must be financially eligible for legal aid but need not obtain a certificate",NA,Refugee claimants who can obtain Legal Aid certificates * immigration detainees eligible for Legal Aid certificates Residency Requirements: Toronto and surrounding area,English * French * Albanian * Amharic * Dari * Farsi * Italian * Russian * Somali * Spanish * Tigrinya,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","January 9, 2020"
"Matthew House Refugee Reception Services, Toronto",https://www.torontocentralhealthline.ca/displayService.aspx?id=132439,http://www.matthewhouse.ca,"981 Dundas St W Toronto, ON M6J 1W4",admin@matthewhouse.ca,NA,"Temporary shelter COVID19Services continue with modifications; no walk-in service Temporary shelter settlement assistance, including help with refugee claim process Refugee Hearing Program to simulate Immigration and Refugee Board (IRB) hearings orientation classes, transition program includes links to community occasional drop-in for former residents summer camp",NA,"Refugee claimants in Canada less than 28 days; transition program for vulnerable refugee claimants, including adults, youth and children",English,Toronto,"January 28, 2021"
Neighbourhood Group (The) - Neighbourhood Link Support Services - Newcomer Support Programs,https://www.torontocentralhealthline.ca/displayService.aspx?id=190997,http://www.neighbourhoodlink.org/newcomers/,"3036 Danforth Ave Toronto, ON M4C 1N2",info@neighbourhoodlink.org,416-691-7407,"Assist newcomers to integrate into Canadian society Beginners Computer and Keyboarding - basic computer class to help newcomers to learn how to use a computer, including Microsoft Word and Internet use Conversation Circles - a safe, encouraging environment in which to have fun while practicing English language skills through playing word games and physical activities Healthy Lifestyle Workshops - help newcomers adjust to Canadian culture when learning to make healthy lifestyle choices Job Search Workshop for Newcomers - a two-week program offered in partnership with the City of Toronto and Access Alliance to offer newcomers information and advice on employment and settlement in Canada New Knowledge, New Steps - six-week essential skills program for new and not-so-new immigrants to help navigate job market",Free,NA,English * Chinese (Cantonese) * Chinese (Mandarin),Toronto,"June 22, 2022"
Neighbourhood Group - Augusta Centre - Homelessness Services,https://www.torontocentralhealthline.ca/displayService.aspx?id=132951,http://www.sschto.ca/Adults/Corner-Drop-in,"260 Augusta Ave Toronto, ON M5T 2L9",tcatadmin@sschto.ca,416-925-2103 ext 2240,"Multiservice agency Corner Drop-In breakfast, lunch showers, laundry, phones, mail services and computers assessment and support of OW/ODSP/CPP applications identification and legal support Medical services community nurses vaccination clinic psychiatrist primary care general practitioner Mental health and substance use services case management safer drug use supplies overdose prevention site information and referral for issues related to HIV/Hep C Trustee program money management assistance harm reduction follow-up support services for participants referred through the Streets to Homes program Housing services housing support and referral housing Connections Community Partner L L Odette Place supportive housing for chronically homeless men application through CASH Employment program support, employment readiness and job matching services employment, volunteering and educational opportunities Group programs Acudetox, social action, mindfulness meditation and wellness group Sunday afternoon movie peer supports social, recreational and volunteering opportunities",NA,"Open to all Corner Drop-In -- serves individuals who are homeless or marginally-housed or has mental health or substance use issue concerns, who have low incomes and/or who are socially isolated",English,Toronto (Kensington-Chinatown),"July 28, 2020"
North York Community House - Central Program Office,https://www.torontocentralhealthline.ca/displayService.aspx?id=132679,http://www.nych.ca/,"700 Lawrence Ave W Suite 350 Toronto, ON M6A 3B4",nych@nych.ca,416-784-0920,"Multiservice agency Social support programsin several locations information and referral income tax clinic referral to legal services outreach and mobilization to engage residents and strengthen the community Settlement Program outreach program based in elementary and secondary schools from mid-August to end of June and in libraries and social service agencies from July to mid-August refugee support Employment readiness and mentoring-- employment preparation, professional and social mentorship Family and community centre after school programs, parenting groups, youth programs citizenship test preparation Participates inLINC (Language Instruction for Newcomers to Canada)in English, upon assessment by YMCA of Greater Toronto -- see separate entry, child care provided English conversation circles computer club Support for Caregivers 55+ healthy living groups English conversation elder abuse awareness Caregiver Peer Support Group",NA,"Open to all Residency Requirements: Steeles Ave W (north) to St Clair Ave W / Dundas St W (south), Kipling Ave (west) to Yonge St (east)",Arabic * Bengali * Farsi * Hindi * Mandarin * Marathi * Romanian * Russian * Sinhalese * Spanish * Tagalog * Tamil * Urdu * Vietnamese,Toronto (North York),"May 25, 2022"
Oasis Dufferin Community Centre,https://www.torontocentralhealthline.ca/displayService.aspx?id=133429,http://oasisdufferin.org,"1219 Dufferin St Toronto, ON M6H 4C2",oasisdufferin@rogers.com,416-536-4431,"Community centre COVID19-- food bank open, outdoors Wed 9:30 am-12:30 pm, appointments on Tue - call to inquire take away meal served outdoors Tue 5:30 pm-6 pm indoor programs not accessible ---------------------------------------------- Community centre serving diverse groups including Spanish-speaking community counselling, orientation, life skills for immigrants and newcomers information and referral counselling for Spanish-speaking women spiritual counselling programs for Spanish-speaking seniors Food Bank-- emergency food - member of Daily Bread Food Bank and supported by Second Harvest",NA,"Open to all Residency Requirements: Food Bank -- Rogers Rd and Vaughan Rd (north) to Dundas St W (south), Keele St (west) to Bathurst St (east)",English * Spanish,Toronto,"May 27, 2022"
Ontario Council of Agencies Serving Immigrants,https://www.torontocentralhealthline.ca/displayService.aspx?id=146240,http://www.ocasi.org,"110 Eglinton Ave W, Suite 200 Toronto, ON M4R 1A3",generalmail@ocasi.org,416-322-4950,Represents more than 200 Ontario community organizations serving immigrants * collective action for shared needs and concerns Main services include: research and programs specifically affecting immigrants policy advocacy and lobbying newsletters on OCASI programs Learn at Work - variety of free online courses,NA,"Vary depending on type of membership, specific criteria detailed online",English,Ontario,"March 14, 2022"
Ontario Council of Agencies Serving Immigrants - NewYouth.ca,https://www.torontocentralhealthline.ca/displayService.aspx?id=166485,http://www.newyouth.ca,NA,NA,NA,"Online community for youths who are newcomers to Canada * information on school, employment, permanent residency and refugee claims, legal rights, health services, and daily life in Canada Fees",Free,Youth who are newcomers to Canada,English * French,Ontario,"March 1, 2021"
Ontario Council of Agencies Serving Immigrants - WelcomeOntario - Refugee Assistance Information,https://www.torontocentralhealthline.ca/displayService.aspx?id=192791,http://welcomeontario.ca/,NA,welcomeontario@ocasi.org,NA,"Website bringing together trustworthy information for those helping Syrian refugees settle in Ontario * created and maintained by the Ontario Council of Agencies Serving Immigrants * contains information about the Refugee Settlement Support Project, settlement services as well as additional information in regards to the Syrian conflict",None,Syrian refugees settling in Ontario * those helping Syrian refugees,English * French,Ontario,"January 18, 2022"
Ontario. Ministry of Citizenship and Immigration,https://www.torontocentralhealthline.ca/displayService.aspx?id=172035,http://www.ontario.ca/page/ministry-citizenship-and-immigration,"400 University Ave, 6th Fl Toronto, ON M7A 2R9",NA,416-327-2422,"Provincial ministry which provides services to newcomers and immigrants to Ontario * engages to encourage social inclusion and recognition for all Ontarians * provides information to newcomers about settlement programs such as finding housing, healthcare and social services, employment, English/French language programs, foreign credential assessments and interpretation/translation services",NA,Newcomers and immigrants,English * French,Ontario,"July 20, 2020"
Ontario. Ministry of Health - Health Connect Ontario - Refugee HealthLine,https://www.torontocentralhealthline.ca/displayService.aspx?id=212909,NA,NA,NA,NA,"Refugees can connect with health care providers who deliver transitional health care and services, including primary care, specialist care, and mental health supports * transitional care includes initial assessments, care, and referrals to other health services",Free,"Refugees - newly arriving refugees and people arriving through other exceptional humanitarian authorizations * Resettlement Assistance Programs, sponsors, and settlement agencies",English * French * Many other languages,Ontario,"May 11, 2022"
